rootIdx	rootAuth	nodeIdx1	nodeAuth1	nodeIdx2	nodeAuth2	nodeIdx3	nodeAuth3	nodeIdx4	nodeAuth4	nodeIdx5	nodeAuth5	nodeIdx6	nodeAuth6	nodeIdx7	nodeAuth7	nodeIdx8	nodeAuth8	nodeIdx9	nodeAuth9	nodeIdx10	nodeAuth10	nodeIdx11	nodeAuth11	nodeIdx12	nodeAuth12	nodeIdx13	nodeAuth13	nodeIdx14	nodeAuth14	nodeIdx15	nodeAuth15	nodeIdx16	nodeAuth16	nodeIdx17	nodeAuth17	nodeIdx18	nodeAuth18	nodeIdx19	nodeAuth19
1479.0	154668	12574.0	158461	13345.0	155813.0																																		
1481.0	154668	802346.0	160579																																				
1481.0	154668	880654.0	219815	880726.0	219815.0	884034.0	191061.0	885334.0	219815.0																														
1481.0	154668	880654.0	219815	880726.0	219815.0	884034.0	191061.0	1369657.0	219815.0																														
1485.0	154668	519998.0	219815	520034.0	219815.0	525614.0	765922.0																																
1485.0	154668	519998.0	219815	520034.0	219815.0	615186.0	880121.0																																
1486.0	154668	54209.0	159249																																				
1487.0	154668	16773.0	159249	16777.0	159249.0	16788.0	159249.0	16792.0	159249.0	16799.0	164166.0																												
1487.0	154668	21935.0	159249	21953.0	159249.0	21956.0	165416.0																																
1487.0	154668	21935.0	159249	21953.0	159249.0	22072.0	157984.0	22170.0	157984.0	22172.0	157984.0																												
1487.0	154668	21935.0	159249	21953.0	159249.0	22174.0	157984.0																																
1487.0	154668	21935.0	159249	21953.0	159249.0	22176.0	157984.0																																
1487.0	154668	21935.0	159249	21953.0	159249.0	22248.0	156207.0																																
1487.0	154668	21935.0	159249	21953.0	159249.0	22309.0	166623.0																																
1487.0	154668	24297.0	159249																																				
1487.0	154668	21935.0	159249	21953.0	159249.0	27716.0	158461.0																																
1487.0	154668	36333.0	159249	36338.0	159249.0																																		
1487.0	154668	36333.0	159249	36430.0	157984.0																																		
1487.0	154668	44490.0	159249	45075.0	116734.0																																		
1487.0	154668	44490.0	159249	45079.0	116734.0																																		
1487.0	154668	45384.0	159249	45421.0	179240.0																																		
1487.0	154668	45384.0	159249	45470.0	184902.0																																		
1487.0	154668	45384.0	159249	45509.0	157984.0																																		
1487.0	154668	45384.0	159249	45529.0	157984.0	45534.0	157984.0	45542.0	157984.0	45644.0	157984.0																												
1487.0	154668	44490.0	159249	46541.0	164100.0	48393.0	202788.0																																
1487.0	154668	45384.0	159249	49031.0	157984.0																																		
1487.0	154668	45384.0	159249	49090.0	157984.0																																		
1487.0	154668	45384.0	159249	45529.0	157984.0	45534.0	157984.0	49153.0	157984.0																														
1487.0	154668	49157.0	157984	49162.0	157984.0	49164.0	157984.0	49166.0	157984.0																														
1487.0	154668	21935.0	159249	21953.0	159249.0	27757.0	157984.0	27761.0	157984.0	27766.0	157984.0	27768.0	157984.0	210241.0	157984.0																								
1487.0	154668	49157.0	157984	49168.0	157984.0	49172.0	157984.0	483270.0	219815.0	483282.0	219815.0																												
1490.0	154668	478789.0	611590																																				
1495.0	154668	49056.0	157984																																				
1495.0	154668	79340.0	246566																																				
1495.0	154668	219685.0	399997																																				
1495.0	154668	737954.0	1040586																																				
1495.0	154668	944442.0	1241890																																				
1496.0	154668	5730.0	157364																																				
1497.0	154668	27472.0	160579																																				
1497.0	154668	33389.0	184069																																				
1497.0	154668	33391.0	184069																																				
1497.0	154668	49804.0	206568																																				
1497.0	154668	93293.0	261437																																				
1497.0	154668	234737.0	100008																																				
1497.0	154668	456458.0	611590																																				
1497.0	154668	799190.0	1058745																																				
1497.0	154668	1383409.0	1601865																																				
1506.0	154668	171725.0	342193																																				
1508.0	154668	173597.0	160579	173613.0	160579.0	173645.0	160579.0	173661.0	160579.0	173701.0	160579.0	173737.0	160579.0																										
1508.0	154668	173597.0	160579	173613.0	160579.0	173773.0	160579.0	173833.0	160579.0	173845.0	160579.0																												
1509.0	154668	26442.0	160579																																				
1510.0	154668	475178.0	611590																																				
1510.0	154668	478701.0	611590																																				
1510.0	154668	483293.0	347581																																				
1510.0	154668	1361033.0	1022190																																				
1510.0	154668	17901.0	155813	1362161.0	1022190.0																																		
1511.0	154668	8507.0	158862	8509.0	158862.0																																		
1511.0	154668	16649.0	159249	16655.0	159249.0	16666.0	159249.0																																
1511.0	154668	21805.0	159249	21808.0	159249.0																																		
1511.0	154668	23471.0	159249	23478.0	157984.0																																		
1511.0	154668	23471.0	159249	23491.0	159249.0																																		
1511.0	154668	31671.0	159249																																				
1511.0	154668	39285.0	159249	39293.0	159249.0																																		
1511.0	154668	44012.0	159249	44071.0	157984.0																																		
1511.0	154668	44012.0	159249	44078.0	157984.0	44097.0	157984.0	44100.0	157984.0																														
1511.0	154668	44012.0	159249	44105.0	157984.0																																		
1511.0	154668	44012.0	159249	44078.0	157984.0	44087.0	157984.0	44140.0	157984.0	44143.0	157984.0	44155.0	157984.0																										
1511.0	154668	44012.0	159249	44078.0	157984.0	44087.0	157984.0	44840.0	157984.0																														
1511.0	154668	44012.0	159249	49416.0	157984.0	49430.0	157984.0																																
1511.0	154668	44012.0	159249	49416.0	157984.0	49432.0	157984.0																																
1511.0	154668	44012.0	159249	64401.0	157984.0																																		
